Year,Month,Day,Hour,Wave_Height,Wave_Dir,Wave_Period
2005,3,25,18,1.66,13.84,254.31
2005,3,25,21,1.59,13.32,254.21
2005,3,26,0,1.51,13.01,254.09
2005,3,26,3,1.42,12.37,253.2
2005,3,26,6,1.38,12.04,253.05
2005,3,26,9,1.38,11.79,252.82
2005,3,26,12,1.38,11.18,252.27
2005,3,26,15,1.34,10.9,251.88
2005,3,26,18,1.28,10.71,251.42
2005,3,26,21,1.25,10.45,252.09
2005,3,27,0,1.24,5.34,53.85
2005,3,27,3,1.2,5.34,49.11
2005,3,27,6,1.15,6.61,5.72
2005,3,27,9,1.09,6.68,7.46
2005,3,27,12,1.05,6.67,9.11
2005,3,27,15,1.04,14.66,247.62
2005,3,27,18,1.06,13.93,247.2
2005,3,27,21,1.1,13.27,245.72
2005,3,28,0,1.13,13.01,245.21
2005,3,28,3,1.1,12.4,246.36
2005,3,28,6,1.04,11.98,245.24
2005,3,28,9,0.99,11.5,249.04
2005,3,28,12,1.05,4.15,39.79
2005,3,28,15,1.21,4.33,41.8
2005,3,28,18,1.5,4.74,43.77
2005,3,28,21,1.78,5.21,47.12
2005,3,29,0,1.76,5.4,48.71
2005,3,29,3,1.5,5.46,44.26
2005,3,29,6,1.24,5.33,42.5
2005,3,29,9,1.03,5.35,37.46
2005,3,29,12,0.93,5.95,17.29
2005,3,29,15,0.92,6.23,14.79
2005,3,29,18,0.95,7.48,12.69
2005,3,29,21,1.01,7.86,11.32
2005,3,30,0,1.07,7.92,10.4
2005,3,30,3,1.13,7.73,14.29
2005,3,30,6,1.2,7.84,25.99
2005,3,30,9,1.25,8.05,71.44
2005,3,30,12,1.25,8.16,138.59
2005,3,30,15,1.25,8.25,157.01
2005,3,30,18,1.24,8.3,165.57
2005,3,30,21,1.22,8.33,169.91
2005,3,31,0,1.2,8.47,171.59
2005,3,31,3,1.18,8.68,178.37
2005,3,31,6,1.18,8.68,178.97
2005,3,31,9,1.21,8.47,172.05
2005,3,31,12,1.23,8.24,173.33
2005,3,31,15,1.27,8.09,176.63
2005,3,31,18,1.39,5.01,186.94
2005,3,31,21,1.6,5.32,184.29
2005,4,1,0,1.81,5.73,184.19
2005,4,1,3,2.02,6.16,184.32
2005,4,1,6,2.35,6.45,182.18
2005,4,1,9,2.78,6.89,181.95
2005,4,1,12,3.1,7.27,184.33
2005,4,1,15,3.58,7.58,184.64
2005,4,1,18,3.84,7.96,193.34
2005,4,1,21,3.87,8.14,195.02
2005,4,2,0,3.57,8.06,195.92
2005,4,2,3,3.1,7.74,188.49
2005,4,2,6,2.79,7.56,188.82
2005,4,2,9,2.61,7.48,193.56
2005,4,2,12,2.39,7.27,197.35
2005,4,2,15,2.14,6.94,187.1
2005,4,2,18,1.99,6.73,186.33
2005,4,2,21,1.92,6.38,184.38
2005,4,3,0,1.91,6.06,182.07
2005,4,3,3,2.02,5.84,180.69
2005,4,3,6,2.32,6.04,175.63
2005,4,3,9,2.67,6.28,174.63
2005,4,3,12,2.82,6.69,178.25
2005,4,3,15,2.83,6.81,182.55
2005,4,3,18,2.81,6.84,185.95
2005,4,3,21,2.85,6.87,188.72
2005,4,4,0,2.86,6.92,189.56
2005,4,4,3,2.8,6.95,189.95
2005,4,4,6,2.6,6.95,191.09
2005,4,4,9,2.38,6.84,192.51
2005,4,4,12,2.26,6.56,197.31
2005,4,4,15,2.31,6.28,204.71
2005,4,4,18,2.56,6.33,209.95
2005,4,4,21,2.75,9.81,264.97
2005,4,5,0,2.83,9.72,262.64
2005,4,5,3,2.94,9.56,260.68
2005,4,5,6,3.13,8.95,256.21
2005,4,5,9,2.98,9.27,253.97
2005,4,5,12,2.88,9.94,252.71
2005,4,5,15,2.92,10.98,253.35
2005,4,5,18,2.82,7.05,274.81
2005,4,5,21,2.75,9.95,275.39
2005,4,6,0,2.94,9.88,300.82
2005,4,6,3,3.01,9.83,312.04
2005,4,6,6,2.93,9.78,317.46
2005,4,6,9,2.97,9.92,320.78
2005,4,6,12,3.28,10.81,324.58
2005,4,6,15,3.8,11.72,336.65
2005,4,6,18,4.18,11.77,339.77
2005,4,6,21,4.32,12.09,342.1
2005,4,7,0,4.44,13.51,346.87
2005,4,7,3,4.55,13.29,348.88
2005,4,7,6,4.49,13.09,350.33
2005,4,7,9,4.42,12.75,351.34
2005,4,7,12,4.74,12.16,352.2
2005,4,7,15,4.92,11.99,351.9
2005,4,7,18,5.06,11.88,351.41
